label,m,N,mode,reuse,phase,disk_accesses,avg_io_per_op,wall_ms,cpu_user_ms,cpu_sys_ms,io_wait_ms,height,total_nodes,free_nodes,file_bytes
node_reuse,3,10000,rand,1,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,11,7516,0,210476
node_reuse,3,10000,rand,1,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,10,7516,3716,210476
node_reuse,3,10000,rand,1,churn_refill,85475,8.5475,89.1100,39.7860,57.5860,0.0000,12,8799,0,246400
node_reuse,3,10000,rand,0,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,11,7516,0,210476
node_reuse,3,10000,rand,0,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,10,7516,3716,210476
node_reuse,3,10000,rand,0,churn_refill,81759,8.1759,73.7048,38.3800,42.1610,0.0000,12,12515,3716,350448
node_reuse,3,100000,rand,1,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,14,74599,0,2088800
node_reuse,3,100000,rand,1,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,13,74599,36681,2088800
node_reuse,3,100000,rand,1,churn_refill,1009276,10.0928,1119.3797,363.9990,858.9640,0.0000,15,87913,0,2461592
node_reuse,3,100000,rand,0,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,14,74599,0,2088800
node_reuse,3,100000,rand,0,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,13,74599,36681,2088800
node_reuse,3,100000,rand,0,churn_refill,972595,9.7259,944.7978,291.8980,725.2240,0.0000,15,124594,36681,3488660
node_reuse,5,10000,rand,1,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,7,3695,0,162624
node_reuse,5,10000,rand,1,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,7,3695,1782,162624
node_reuse,5,10000,rand,1,churn_refill,56860,5.6860,61.9353,9.3230,57.3680,0.0000,8,4410,0,194084
node_reuse,5,10000,rand,0,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,7,3695,0,162624
node_reuse,5,10000,rand,0,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,7,3695,1782,162624
node_reuse,5,10000,rand,0,churn_refill,55078,5.5078,49.1105,17.5210,35.3400,0.0000,8,6192,1782,272492
node_reuse,5,100000,rand,1,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,9,36986,0,1627428
node_reuse,5,100000,rand,1,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,9,36986,17658,1627428
node_reuse,5,100000,rand,1,churn_refill,667511,6.6751,714.6142,245.4360,511.6290,0.0000,10,44325,0,1950344
node_reuse,5,100000,rand,0,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,9,36986,0,1627428
node_reuse,5,100000,rand,0,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,9,36986,17658,1627428
node_reuse,5,100000,rand,0,churn_refill,649853,6.4985,656.9734,176.2350,512.0320,0.0000,10,61983,17658,2727296
node_reuse,100,10000,rand,1,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,3,146,0,118188
node_reuse,100,10000,rand,1,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,2,146,67,118188
node_reuse,100,10000,rand,1,churn_refill,24249,2.4249,20.9830,0.2320,21.7630,0.0000,3,182,0,147132
node_reuse,100,10000,rand,0,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,3,146,0,118188
node_reuse,100,10000,rand,0,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,2,146,67,118188
node_reuse,100,10000,rand,0,churn_refill,24182,2.4182,21.1482,4.4480,17.7250,0.0000,3,249,67,201000
node_reuse,100,100000,rand,1,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,3,1440,0,1158564
node_reuse,100,100000,rand,1,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,3,1440,672,1158564
node_reuse,100,100000,rand,1,churn_refill,253729,2.5373,230.5592,54.1570,187.4080,0.0000,3,1787,0,1437552
node_reuse,100,100000,rand,0,churn_build,0,0.0000,0.0000,0.0000,0.0000,0.0000,3,1440,0,1158564
node_reuse,100,100000,rand,0,churn_after_delete,0,0.0000,0.0000,0.0000,0.0000,0.0000,3,1440,672,1158564
node_reuse,100,100000,rand,0,churn_refill,253057,2.5306,213.8178,46.5130,177.5110,0.0000,3,2459,672,1977840
