label,m,N,mode,reuse,phase,disk_accesses,avg_io_per_op,wall_ms,cpu_user_ms,cpu_sys_ms,io_wait_ms,height,total_nodes,free_nodes,file_bytes
set_size,3,1000,rand,1,insert,11099,11.0990,25.2125,8.3120,17.9360,0.0000,8,755,0,21168
set_size,3,1000,rand,1,search,7253,7.2530,5.0156,3.1320,2.0870,0.0000,8,755,0,21168
set_size,3,1000,rand,1,delete,13990,13.9900,23.6977,4.2720,20.3880,0.0000,0,755,755,21168
set_size,3,1000,seq,1,insert,12933,12.9330,13.8272,2.7810,11.6130,0.0000,9,994,0,27860
set_size,3,1000,seq,1,search,8015,8.0150,5.3468,0.3290,5.2350,0.0000,9,994,0,27860
set_size,3,1000,seq,1,delete,14912,14.9120,18.9211,3.9380,15.7510,0.0000,0,994,994,27860
set_size,3,10000,rand,1,insert,141373,14.1373,159.8977,57.5370,108.8440,0.0000,11,7516,0,210476
set_size,3,10000,rand,1,search,102495,10.2495,58.2633,3.5760,57.0490,0.0000,11,7516,0,210476
set_size,3,10000,rand,1,delete,168762,16.8762,190.4993,62.3290,137.1270,0.0000,0,7516,7516,210476
set_size,3,10000,seq,1,insert,163564,16.3564,139.2456,65.5380,86.3380,0.0000,13,9995,0,279888
set_size,3,10000,seq,1,search,120018,12.0018,58.8266,51.7010,12.4600,0.0000,13,9995,0,279888
set_size,3,10000,seq,1,delete,176836,17.6836,191.4650,82.6690,126.1530,0.0000,0,9995,9995,279888
set_size,3,100000,rand,1,insert,1689553,16.8955,1943.2456,744.8160,1374.5390,0.0000,14,74599,0,2088800
set_size,3,100000,rand,1,search,1325415,13.2541,1122.4746,440.0290,784.1820,0.0000,14,74599,0,2088800
set_size,3,100000,rand,1,delete,1967284,19.6728,2328.2142,830.5550,1700.5910,0.0000,0,74599,74599,2088800
set_size,3,100000,seq,1,insert,1968864,19.6886,1933.5323,597.7890,1442.2910,0.0000,16,99994,0,2799860
set_size,3,100000,seq,1,search,1500022,15.0002,923.7021,258.5860,716.0780,0.0000,16,99994,0,2799860
set_size,3,100000,seq,1,delete,2066210,20.6621,2425.0949,636.5880,1922.1790,0.0000,0,99994,99994,2799860
set_size,3,1000000,rand,1,insert,19584551,19.5846,28818.2350,6614.2640,21654.3290,549.6420,17,746164,0,20892620
set_size,3,1000000,rand,1,search,16253853,16.2539,21884.7303,6112.3500,15200.2700,572.1103,17,746164,0,20892620
set_size,3,1000000,rand,1,delete,22271672,22.2717,32742.7100,7429.4650,25259.4200,53.8250,0,746164,746164,20892620
set_size,3,1000000,seq,1,insert,22951348,22.9513,22177.7524,6846.8740,16717.3690,0.0000,19,999993,0,27999832
set_size,3,1000000,seq,1,search,18000026,18.0000,14179.2978,4129.4110,8679.4410,1370.4458,19,999993,0,27999832
set_size,3,1000000,seq,1,delete,23522835,23.5228,31601.2193,7775.2070,23811.4190,14.5933,0,999993,999993,27999832
set_size,100,1000,rand,1,insert,3942,3.9420,5.2630,3.5990,1.9660,0.0000,2,17,0,14472
set_size,100,1000,rand,1,search,1985,1.9850,1.5752,0.8320,0.8320,0.0000,2,17,0,14472
set_size,100,1000,rand,1,delete,4454,4.4540,7.4018,3.9070,3.9070,0.0000,0,17,17,14472
set_size,100,1000,seq,1,insert,3954,3.9540,3.9980,0.0000,4.2260,0.0000,2,21,0,17688
set_size,100,1000,seq,1,search,1981,1.9810,1.7409,0.0000,1.8380,0.0000,2,21,0,17688
set_size,100,1000,seq,1,delete,4448,4.4480,5.5163,4.3790,1.4430,0.0000,0,21,21,17688
set_size,100,10000,rand,1,insert,43181,4.3181,40.1159,16.3380,26.0010,0.0000,3,146,0,118188
set_size,100,10000,rand,1,search,29857,2.9857,22.5011,7.8210,15.9300,0.0000,3,146,0,118188
set_size,100,10000,rand,1,delete,48103,4.8103,60.8650,12.9470,51.2880,0.0000,0,146,146,118188
set_size,100,10000,seq,1,insert,45449,4.5449,37.4113,7.1340,32.3580,0.0000,3,204,0,164820
set_size,100,10000,seq,1,search,29799,2.9799,20.7436,12.7050,9.1910,0.0000,3,204,0,164820
set_size,100,10000,seq,1,delete,49908,4.9908,60.9961,25.6920,38.6870,0.0000,0,204,204,164820
set_size,100,100000,rand,1,insert,497363,4.9736,548.2874,120.4640,458.2290,0.0000,3,1440,0,1158564
set_size,100,100000,rand,1,search,298563,2.9856,245.9409,89.0690,170.4850,0.0000,3,1440,0,1158564
set_size,100,100000,rand,1,delete,550943,5.5094,789.8598,206.3030,627.3500,0.0000,0,1440,1440,1158564
set_size,100,100000,seq,1,insert,500957,5.0096,419.8055,118.4720,324.6380,0.0000,3,2040,0,1640964
set_size,100,100000,seq,1,search,297963,2.9796,210.3378,127.2480,97.8280,0.0000,3,2040,0,1640964
set_size,100,100000,seq,1,delete,562089,5.6209,766.0657,307.3910,512.3710,0.0000,0,2040,2040,1640964
set_size,100,1000000,rand,1,insert,5570940,5.5709,7517.4464,2960.6390,5089.0060,0.0000,4,14567,0,11712672
set_size,100,1000000,rand,1,search,3985437,3.9854,5143.2756,2006.4720,3589.3760,0.0000,4,14567,0,11712672
set_size,100,1000000,rand,1,delete,6130617,6.1306,10191.0372,2570.6120,8231.7120,0.0000,0,14567,14567,11712672
set_size,100,1000000,seq,1,insert,5803504,5.8035,8195.8655,2095.5890,4260.8440,1839.4325,4,20407,0,16408032
set_size,100,1000000,seq,1,search,3979597,3.9796,3318.1736,1464.1300,2103.3560,0.0000,4,20407,0,16408032
set_size,100,1000000,seq,1,delete,6244421,6.2444,10187.5476,3510.5670,7564.0110,0.0000,0,20407,20407,16408032
set_size,1000,1000,rand,1,insert,3000,3.0000,31.5875,17.4300,16.3330,0.0000,2,3,0,32016
set_size,1000,1000,rand,1,search,1999,1.9990,11.8949,2.8860,9.8380,0.0000,2,3,0,32016
set_size,1000,1000,rand,1,delete,3006,3.0060,25.1972,13.2850,13.6550,0.0000,0,3,3,32016
set_size,1000,1000,seq,1,insert,3000,3.0000,19.2234,4.2750,16.3010,0.0000,2,3,0,32016
set_size,1000,1000,seq,1,search,1999,1.9990,9.8366,7.4350,3.0840,0.0000,2,3,0,32016
set_size,1000,1000,seq,1,delete,3006,3.0060,20.4583,8.8060,13.0650,0.0000,0,3,3,32016
set_size,1000,10000,rand,1,insert,39042,3.9042,80.8936,33.9130,52.5630,0.0000,2,17,0,144072
set_size,1000,10000,rand,1,search,19985,1.9985,21.9982,16.1110,7.4050,0.0000,2,17,0,144072
set_size,1000,10000,rand,1,delete,41462,4.1462,82.5903,35.4330,52.8480,0.0000,0,17,17,144072
set_size,1000,10000,seq,1,insert,39054,3.9054,72.7982,48.7300,29.0510,0.0000,2,21,0,176088
set_size,1000,10000,seq,1,search,19981,1.9981,20.9535,17.7030,4.6950,0.0000,2,21,0,176088
set_size,1000,10000,seq,1,delete,45368,4.5368,87.8662,38.5370,55.3820,0.0000,0,21,21,176088
set_size,1000,100000,rand,1,insert,399378,3.9938,744.3894,349.5010,446.1380,0.0000,2,129,0,1040520
set_size,1000,100000,rand,1,search,199873,1.9987,248.9622,141.5040,124.5900,0.0000,2,129,0,1040520
set_size,1000,100000,rand,1,delete,434004,4.3400,856.2771,342.1980,573.0550,0.0000,0,129,129,1040520
set_size,1000,100000,seq,1,insert,399594,3.9959,752.6595,312.2630,484.2190,0.0000,2,201,0,1616808
set_size,1000,100000,seq,1,search,199801,1.9980,258.8574,159.1940,112.4550,0.0000,2,201,0,1616808
set_size,1000,100000,seq,1,delete,456802,4.5680,904.2175,314.7190,634.1980,0.0000,0,201,201,1616808
set_size,1000,1000000,rand,1,insert,4395302,4.3953,11207.2739,2920.5120,6608.7300,1678.0319,3,1443,0,11557776
set_size,1000,1000000,rand,1,search,2998560,2.9986,4615.4359,2559.5560,2276.2600,0.0000,3,1443,0,11557776
set_size,1000,1000000,rand,1,delete,4758044,4.7580,10316.9287,4183.7570,7058.8420,0.0000,0,1443,1443,11557776
