m,altura,ins_io/op,busca_io/op,del_io/op,ins_ms,busca_ms,del_ms,nós,arquivo(KB)
3,14,16.8955,13.2541,19.6728,2040.0619,1515.4917,2498.6242,74599,2039.8
4,11,13.5134,10.4798,16.7628,1670.5153,1232.3357,2117.5268,52034,1829.4
5,9,11.5011,8.6302,13.515,1438.5378,1053.0776,1733.832,36986,1589.3
8,7,9.0494,6.7876,10.9131,1108.4859,819.2273,1407.7991,21247,1411.0
16,5,7.005,4.903,8.1608,886.2987,623.6508,1103.0916,9707,1251.4
32,4,5.9478,3.9532,6.7674,790.0141,532.5454,950.9588,4682,1189.0
64,3,5.0379,2.9773,5.6377,694.5121,456.3115,870.4851,2274,1146.4
100,3,4.9736,2.9856,5.5094,695.8533,456.339,867.607,1440,1131.4
128,3,4.9162,2.9889,5.4052,694.2765,445.4379,835.2702,1116,1121.4
256,3,4.5709,2.9946,5.0023,684.9995,473.5568,828.9639,542,1088.1
512,2,4.0027,1.9974,4.4082,693.8277,382.9987,834.3231,262,1053.0
1000,2,3.9938,1.9987,4.34,816.9755,430.9121,975.1553,129,1016.1
