m,altura,ins_io/op,busca_io/op,del_io/op,ins_ms,busca_ms,del_ms,nós,arquivo(KB)
3,16,19.6886,15.0002,20.6621,1887.9669,1037.0296,2359.183,99994,2734.2
4,16,19.033,15.0004,20.5621,1835.3112,886.7289,2514.9191,99980,3515.0
5,10,12.9091,9.5001,14.1397,1240.4682,567.1292,1672.0772,49995,2148.3
8,8,10.4899,7.6668,11.5647,1006.0324,472.564,3247.5123,33328,2213.3
16,6,7.6259,5.8572,8.4451,673.1871,344.868,1079.3416,14284,1841.4
32,4,6.1095,3.9334,6.9305,486.7174,267.4327,926.7047,6665,1692.5
64,4,5.4093,3.9678,5.7857,440.1751,246.5336,774.7236,3226,1626.1
100,3,5.0096,2.9796,5.6209,420.0107,210.1396,793.6636,2040,1602.5
128,3,4.9636,2.9842,5.5752,423.8057,213.3463,777.5338,1587,1594.2
256,3,4.692,2.9922,5.1282,490.2437,249.0339,783.4108,788,1581.1
512,2,4.0065,1.9961,4.4547,491.0968,218.4458,831.1088,391,1569.5
1000,2,3.9959,1.998,4.568,779.5337,235.9002,950.3948,201,1578.9
