m,N,modo,altura,ins_io/op,busca_io/op,del_io/op,ins_ms,busca_ms,del_ms,arquivo(KB)
3,1000,rand,8,11.099,7.253,13.99,25.2125,5.0156,23.6977,20.7
3,1000,seq,9,12.933,8.015,14.912,13.8272,5.3468,18.9211,27.2
3,10000,rand,11,14.1373,10.2495,16.8762,159.8977,58.2633,190.4993,205.5
3,10000,seq,13,16.3564,12.0018,17.6836,139.2456,58.8266,191.465,273.3
3,100000,rand,14,16.8955,13.2541,19.6728,1943.2456,1122.4746,2328.2142,2039.8
3,100000,seq,16,19.6886,15.0002,20.6621,1933.5323,923.7021,2425.0949,2734.2
3,1000000,rand,17,19.5846,16.2539,22.2717,28818.235,21884.7303,32742.71,20402.9
3,1000000,seq,19,22.9513,18.0,23.5228,22177.7524,14179.2978,31601.2193,27343.6
100,1000,rand,2,3.942,1.985,4.454,5.263,1.5752,7.4018,14.1
100,1000,seq,2,3.954,1.981,4.448,3.998,1.7409,5.5163,17.3
100,10000,rand,3,4.3181,2.9857,4.8103,40.1159,22.5011,60.865,115.4
100,10000,seq,3,4.5449,2.9799,4.9908,37.4113,20.7436,60.9961,161.0
100,100000,rand,3,4.9736,2.9856,5.5094,548.2874,245.9409,789.8598,1131.4
100,100000,seq,3,5.0096,2.9796,5.6209,419.8055,210.3378,766.0657,1602.5
100,1000000,rand,4,5.5709,3.9854,6.1306,7517.4464,5143.2756,10191.0372,11438.2
100,1000000,seq,4,5.8035,3.9796,6.2444,8195.8655,3318.1736,10187.5476,16023.5
1000,1000,rand,2,3.0,1.999,3.006,31.5875,11.8949,25.1972,31.3
1000,1000,seq,2,3.0,1.999,3.006,19.2234,9.8366,20.4583,31.3
1000,10000,rand,2,3.9042,1.9985,4.1462,80.8936,21.9982,82.5903,140.7
1000,10000,seq,2,3.9054,1.9981,4.5368,72.7982,20.9535,87.8662,172.0
1000,100000,rand,2,3.9938,1.9987,4.34,744.3894,248.9622,856.2771,1016.1
1000,100000,seq,2,3.9959,1.998,4.568,752.6595,258.8574,904.2175,1578.9
1000,1000000,rand,3,4.3953,2.9986,4.758,11207.2739,4615.4359,10316.9287,11286.9
1000,1000000,seq,3,4.5045,2.998,4.8734,9046.6495,3531.2181,13075.3864,15671.9
