m,N,modo,fase,wall_ms,cpu_user_ms,cpu_sys_ms,io_wait_ms,%cpu,%io
3,1000,rand,delete,23.6977,4.272,20.388,0.0,100.0,0.0
3,1000,rand,insert,25.2125,8.312,17.936,0.0,100.0,0.0
3,1000,rand,search,5.0156,3.132,2.087,0.0,100.0,0.0
3,10000,rand,delete,190.4993,62.329,137.127,0.0,100.0,0.0
3,10000,rand,insert,159.8977,57.537,108.844,0.0,100.0,0.0
3,10000,rand,search,58.2633,3.576,57.049,0.0,100.0,0.0
3,100000,rand,delete,2328.2142,830.555,1700.591,0.0,100.0,0.0
3,100000,rand,insert,1943.2456,744.816,1374.539,0.0,100.0,0.0
3,100000,rand,search,1122.4746,440.029,784.182,0.0,100.0,0.0
3,1000000,rand,delete,32742.71,7429.465,25259.42,53.825,99.8,0.2
3,1000000,rand,insert,28818.235,6614.264,21654.329,549.642,98.1,1.9
3,1000000,rand,search,21884.7303,6112.35,15200.27,572.1103,97.4,2.6
100,1000,rand,delete,7.4018,3.907,3.907,0.0,100.0,0.0
100,1000,rand,insert,5.263,3.599,1.966,0.0,100.0,0.0
100,1000,rand,search,1.5752,0.832,0.832,0.0,100.0,0.0
100,10000,rand,delete,60.865,12.947,51.288,0.0,100.0,0.0
100,10000,rand,insert,40.1159,16.338,26.001,0.0,100.0,0.0
100,10000,rand,search,22.5011,7.821,15.93,0.0,100.0,0.0
100,100000,rand,delete,789.8598,206.303,627.35,0.0,100.0,0.0
100,100000,rand,insert,548.2874,120.464,458.229,0.0,100.0,0.0
100,100000,rand,search,245.9409,89.069,170.485,0.0,100.0,0.0
100,1000000,rand,delete,10191.0372,2570.612,8231.712,0.0,100.0,0.0
100,1000000,rand,insert,7517.4464,2960.639,5089.006,0.0,100.0,0.0
100,1000000,rand,search,5143.2756,2006.472,3589.376,0.0,100.0,0.0
1000,1000,rand,delete,25.1972,13.285,13.655,0.0,100.0,0.0
1000,1000,rand,insert,31.5875,17.43,16.333,0.0,100.0,0.0
1000,1000,rand,search,11.8949,2.886,9.838,0.0,100.0,0.0
1000,10000,rand,delete,82.5903,35.433,52.848,0.0,100.0,0.0
1000,10000,rand,insert,80.8936,33.913,52.563,0.0,100.0,0.0
1000,10000,rand,search,21.9982,16.111,7.405,0.0,100.0,0.0
1000,100000,rand,delete,856.2771,342.198,573.055,0.0,100.0,0.0
1000,100000,rand,insert,744.3894,349.501,446.138,0.0,100.0,0.0
1000,100000,rand,search,248.9622,141.504,124.59,0.0,100.0,0.0
1000,1000000,rand,delete,10316.9287,4183.757,7058.842,0.0,100.0,0.0
1000,1000000,rand,insert,11207.2739,2920.512,6608.73,1678.0319,85.0,15.0
1000,1000000,rand,search,4615.4359,2559.556,2276.26,0.0,100.0,0.0
